user,anomaly_score,status
DLM0051,-0.23130495509616233,Anomaly
AJF0370,-0.202920273354383,Anomaly
LBH0942,-0.17702304539084812,Anomaly
HSB0196,-0.17090155638188043,Anomaly
BSS0369,-0.15028793924228467,Anomaly
IBB0359,-0.14579769580555035,Anomaly
HPH0075,-0.14062184215723905,Anomaly
BAL0044,-0.12842013747062042,Anomaly
MOH0273,-0.12701633949984592,Anomaly
NAF0326,-0.12304773922042478,Anomaly
EIS0041,-0.12167601846982545,Anomaly
HDS0367,-0.11762216189851826,Anomaly
OBH0499,-0.10295692093108255,Anomaly
MPM0220,-0.10189323987067356,Anomaly
IRM0931,-0.10161656709820799,Anomaly
LBF0214,-0.10025601932334227,Anomaly
ATE0869,-0.0958781980980451,Anomaly
JDC0030,-0.08776955807794229,Anomaly
WPR0368,-0.06142593980125177,Anomaly
HRL0540,-0.05881350633501192,Anomaly
BJM0111,-0.05628234571645474,Anomaly
LRR0148,-0.04642525823154231,Anomaly
ESJ0670,-0.03954802539199198,Anomaly
RZC0746,-0.038202327595047936,Anomaly
HAD0246,-0.03790431217765744,Anomaly
BRM0995,-0.03777385957407475,Anomaly
TDS0984,-0.03730609266930607,Anomaly
NOB0181,-0.03691251705774734,Anomaly
MOS0047,-0.035970302440375024,Anomaly
CCA0046,-0.034873353884717906,Anomaly
AVM0947,-0.03432608619791255,Anomaly
KKW0879,-0.03363386524644196,Anomaly
BDI0533,-0.03253080964748667,Anomaly
SAA0999,-0.029980261860172108,Anomaly
MLM0950,-0.02838023415748303,Anomaly
BMG0917,-0.02798537952694191,Anomaly
WIQ0567,-0.027197803343978588,Anomaly
AOK0844,-0.02482813239435555,Anomaly
HDD0806,-0.023999093194918775,Anomaly
AJR0319,-0.019499334621427944,Anomaly
BRB0355,-0.018445649076904158,Anomaly
BVC0790,-0.017692625997825617,Anomaly
NWK0215,-0.014926607379005197,Anomaly
FKK0055,-0.011190767595613771,Anomaly
IIW0249,-0.010954790062303932,Anomaly
JDF0593,-0.008941193019456506,Anomaly
CMB0912,-0.00706770742223084,Anomaly
HRB0351,-0.002939010883837745,Anomaly
KBP0008,-0.002323510814738028,Anomaly
RAW0915,-0.00048506004853432483,Anomaly
IKP0472,2.5529476238683735e-05,Normal
WIF0691,0.0001346773750230401,Normal
