user_id,date,login_count,logout_count,after_hours_logon,weekend_logon,unique_pcs,avg_login_hour,device_connect_count,device_disconnect_count,after_hours_device,weekend_device,file_activity_count,unique_files,sensitive_file_activity,after_hours_file,weekend_file,http_request_count,unique_domains,after_hours_http,weekend_http,suspicious_domain_count,email_count,attachment_count,recipient_count,avg_email_size,after_hours_email,weekend_email,is_malicious_label
AAE0190,2026-01-01,1,1,1,0,1,8.266666666666667,0,0,0,0,8,8,0,0,0,52,1,0,0,0,10,2,10,0.4291534423828125,0,0,0
AAE0190,2026-01-02,1,1,0,0,1,8.6,0,0,0,0,6,5,0,0,0,70,1,0,0,0,7,2,7,0.4291534423828125,0,0,0
AAE0190,2026-01-05,1,1,0,0,1,9.5,1,0,0,0,16,11,0,0,0,68,1,0,0,0,8,1,8,0.4291534423828125,0,0,0
AAE0190,2026-01-06,1,1,0,0,1,9.516666666666667,0,0,0,0,12,10,0,0,0,95,1,0,0,0,11,3,11,0.4291534423828125,0,0,0
AAE0190,2026-01-07,1,1,0,0,1,9.866666666666667,0,0,0,0,10,9,0,0,0,110,1,0,0,0,12,4,12,0.4291534423828125,0,0,0
AAE0190,2026-01-08,1,1,0,0,1,9.816666666666666,0,0,0,0,6,6,0,0,0,57,1,0,0,0,10,2,10,0.4291534423828125,0,0,0
AAE0190,2026-01-09,1,1,0,0,1,9.4,0,0,0,0,16,15,0,0,0,66,1,0,0,0,11,2,11,0.4291534423828125,0,0,0
AAE0190,2026-01-12,1,1,1,0,1,8.35,0,0,0,0,13,11,0,0,0,98,1,0,0,0,8,2,8,0.4291534423828125,0,0,0
AAE0190,2026-01-13,1,1,1,0,1,8.383333333333333,0,0,0,0,10,9,0,0,0,86,1,0,0,0,11,1,11,0.4291534423828125,0,0,0
AAE0190,2026-01-14,1,1,1,0,1,8.283333333333333,0,0,0,0,19,16,0,0,0,49,1,0,0,0,12,4,12,0.4291534423828125,0,0,0
AAE0190,2026-01-15,1,1,1,0,1,8.4,0,0,0,0,17,16,0,0,0,106,1,0,0,0,8,0,8,0.4291534423828125,0,0,0
AAE0190,2026-01-16,1,1,1,0,1,8.45,0,0,0,0,10,10,0,0,0,91,1,0,0,0,8,1,8,0.4291534423828125,0,0,0
AAE0190,2026-01-19,1,1,0,0,1,9.55,0,0,0,0,17,14,0,0,0,63,1,0,0,0,4,1,4,0.4291534423828125,0,0,0
AAE0190,2026-01-20,1,1,0,0,1,8.533333333333333,0,0,0,0,13,10,0,0,0,52,1,0,0,0,11,1,11,0.4291534423828125,0,0,0
AAE0190,2026-01-21,2,1,1,0,1,16.125,1,1,1,0,64,38,18,64,0,312,2,312,0,49,44,43,44,6.688724864612926,44,0,1
AAE0190,2026-01-22,2,1,1,0,1,15.6,1,1,1,0,85,42,31,85,0,241,2,241,0,35,42,39,42,8.216358366466704,42,0,1
AAE0190,2026-01-23,2,1,1,0,1,15.75,1,1,1,0,167,53,55,167,0,395,2,395,0,65,35,30,35,5.839211600167411,35,0,1
AAE0190,2026-01-24,2,1,1,1,1,16.325,1,1,1,1,122,49,40,122,1,319,2,319,1,36,25,22,25,7.3146820068359375,25,1,1
AAE0190,2026-01-25,2,1,2,1,1,15.55,1,1,1,1,95,42,33,95,1,485,2,485,1,72,29,32,29,9.332854172279095,29,1,1
AAE0190,2026-01-26,2,1,1,0,1,15.649999999999999,1,1,1,0,89,46,29,89,0,341,2,341,0,53,32,31,32,7.422268390655518,32,0,1
AAE0190,2026-01-27,2,1,1,0,1,16.108333333333334,1,1,1,0,174,54,72,174,0,316,2,316,0,46,38,37,38,8.130073547363281,38,0,1
AAE0190,2026-01-28,2,1,1,0,1,15.5,1,1,1,0,141,49,55,141,0,233,2,233,0,28,27,24,27,6.167093912760417,27,0,1
AAE0190,2026-01-29,2,1,1,0,1,16.03333333333333,1,1,1,0,122,53,39,122,0,409,2,409,0,68,22,20,22,6.688724864612926,22,0,1
AAE0190,2026-01-30,2,1,1,0,1,15.475000000000001,1,1,1,0,91,43,37,91,0,450,2,450,0,57,31,21,31,5.426714497227823,31,0,1
USR0002,2026-01-01,1,1,0,0,1,9.4,0,0,0,0,6,6,0,0,0,119,1,0,0,0,9,0,9,0.4291534423828125,0,0,0
USR0002,2026-01-02,1,1,0,0,1,9.35,0,0,0,0,19,17,0,0,0,99,1,0,0,0,9,2,9,0.4291534423828125,0,0,0
USR0002,2026-01-05,1,1,1,0,1,8.466666666666667,0,0,0,0,5,5,0,0,0,53,1,0,0,0,12,4,12,0.4291534423828125,0,0,0
USR0002,2026-01-06,1,1,0,0,1,9.266666666666667,0,0,0,0,9,8,0,0,0,51,1,0,0,0,5,2,5,0.4291534423828125,0,0,0
USR0002,2026-01-07,1,1,0,0,1,9.483333333333333,0,0,0,0,11,10,0,0,0,81,1,0,0,0,10,3,10,0.4291534423828125,0,0,0
USR0002,2026-01-08,1,1,1,0,1,8.35,1,0,0,0,15,15,0,0,0,68,1,0,0,0,7,1,7,0.4291534423828125,0,0,0
USR0002,2026-01-09,1,1,0,0,1,8.916666666666666,0,0,0,0,10,8,0,0,0,102,1,0,0,0,5,0,5,0.4291534423828125,0,0,0
USR0002,2026-01-12,1,1,0,0,1,9.7,0,0,0,0,17,15,0,0,0,53,1,0,0,0,5,0,5,0.4291534423828125,0,0,0
USR0002,2026-01-13,1,1,0,0,1,9.333333333333334,0,0,0,0,12,11,0,0,0,53,1,0,0,0,7,2,7,0.4291534423828125,0,0,0
USR0002,2026-01-14,1,1,0,0,1,8.683333333333334,0,0,0,0,19,16,0,0,0,114,1,0,0,0,8,0,8,0.4291534423828125,0,0,0
USR0002,2026-01-15,1,1,0,0,1,9.866666666666667,0,0,0,0,6,6,0,0,0,42,1,0,0,0,4,1,4,0.4291534423828125,0,0,0
