user_id,date,login_count,logout_count,after_hours_logon,weekend_logon,unique_pcs,avg_login_hour,device_connect_count,device_disconnect_count,after_hours_device,weekend_device,file_activity_count,unique_files,sensitive_file_activity,after_hours_file,weekend_file,http_request_count,unique_domains,after_hours_http,weekend_http,suspicious_domain_count,email_count,attachment_count,recipient_count,avg_email_size,after_hours_email,weekend_email,is_malicious_label,is_insider,total_activity_volume,rolling_activity_avg_7d,rolling_activity_std_7d,activity_volume_zscore,rolling_sensitive_file_avg,rolling_sensitive_file_std,sensitive_file_zscore,rolling_attachment_avg,rolling_attachment_std,attachment_zscore,rolling_file_avg,rolling_file_std,file_activity_zscore,unusual_login_indicator,unusual_usb_indicator,unusual_file_indicator,unusual_web_indicator,unusual_email_indicator,activity_deviation_score
AAE0190,2026-01-01,1,1,1,0,1,8.266666666666667,0,0,0,0,8,8,0,0,0,52,1,0,0,0,10,2,10,0.4291534423828125,0,0,0,0,71,71.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,1.0,0.0,1,0,0,0,0,0.485
AAE0190,2026-01-02,1,1,0,0,1,9.25,0,0,0,0,13,9,0,0,0,50,1,0,0,0,5,2,5,0.4291534423828125,0,0,0,0,69,71.0,1.0,-2.0,0.0,1.0,0.0,2.0,1.0,0.0,8.0,1.0,5.0,0,0,1,0,0,0.5
AAE0190,2026-01-05,1,1,1,0,1,8.35,0,0,0,0,17,17,0,0,0,61,1,0,0,0,4,1,4,0.4291534423828125,0,0,0,0,83,70.0,1.4142135623730951,9.192388155425117,0.0,0.5,0.0,2.0,0.5,0.0,10.5,3.5355339059327378,1.8384776310850235,1,0,0,0,0,0.6289
AAE0190,2026-01-06,1,1,0,0,1,9.816666666666666,0,0,0,0,6,6,0,0,0,57,1,0,0,0,10,2,10,0.4291534423828125,0,0,0,0,74,74.33333333333333,7.571877794400367,-0.044022545316280554,0.0,0.5,0.0,1.6666666666666667,0.5773502691896258,0.5773502691896255,12.666666666666666,4.509249752822894,-1.4784425419091456,0,0,0,0,0,0.244
AAE0190,2026-01-07,1,1,1,0,1,8.416666666666666,0,0,0,0,9,8,0,0,0,44,1,0,0,0,10,2,10,0.4291534423828125,0,0,0,0,64,74.25,6.184658438426492,-1.6573267710816082,0.0,0.5,0.0,1.75,0.5,0.5,11.0,4.96655480858378,-0.4026936331284146,1,0,0,0,0,0.4403
AAE0190,2026-01-08,1,1,0,0,1,9.7,0,0,0,0,9,9,0,0,0,103,1,0,0,0,12,3,12,0.4291534423828125,0,0,0,0,125,72.2,7.0498226928058285,7.489550063986872,0.0,0.5,0.0,1.8,0.5,2.4,10.6,4.39317652729776,-0.3642011628847882,0,0,0,0,0,0.4408
AAE0190,2026-01-09,1,1,1,0,1,8.4,0,0,0,0,17,16,0,0,0,106,1,0,0,0,8,0,8,0.4291534423828125,0,0,0,0,132,81.0,22.45885126180767,2.2708196160828535,0.0,0.5,0.0,2.0,0.6324555320336759,0.0,10.333333333333334,3.983298465677241,1.673654817511446,1,0,0,0,0,0.4761
AAE0190,2026-01-12,1,1,0,0,1,9.8,0,0,0,0,19,14,0,0,0,114,1,0,0,0,12,3,12,0.4291534423828125,0,0,0,0,146,88.28571428571429,28.140802438892212,2.0509111579036294,0.0,0.5,0.0,1.7142857142857142,0.9511897312113419,1.351690670668749,11.285714285714286,4.423960733486292,1.7437509460456915,0,0,0,0,0,0.2988
AAE0190,2026-01-13,1,1,0,0,1,8.85,0,0,0,0,18,16,0,0,0,115,1,0,0,0,9,4,9,0.4291534423828125,0,0,0,0,143,99.0,34.107672646097285,1.29003231784666,0.0,0.5,0.0,1.8571428571428572,1.0690449676496976,2.004459314343183,12.857142857142858,4.980915960897535,1.0325123297062064,0,0,0,0,1,0.3008
AAE0190,2026-01-14,1,1,0,0,1,9.55,0,0,0,0,17,16,0,0,0,113,1,0,0,0,8,3,8,0.4291534423828125,0,0,0,0,139,109.57142857142857,34.72202539626753,0.8475476615409329,0.0,0.5,0.0,2.142857142857143,1.3451854182690985,0.6371930928643098,13.571428571428571,5.349677337844557,0.6408931253324593,0,0,0,0,0,0.2598
