user,day,logon_count,logon_after_hours,logon_unique_pc,device_count,device_after_hours,device_unique_pc,file_count,file_unique_pc,email_count,email_unique_pc,email_size_sum,email_attachments_sum,hour,after_hours,auth_event,privilege_event,file_event,usb_event,network_event,process_event,email_event,remote,log_bytes,log_files,indicator_count,label
AAE0190,2010-01-04,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,441328.0,4.0,0,0,1,0,0.0,0.0,0.0,0,14.0,0,12.99754590803166,0.0,0,0
AAE0190,2010-01-05,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,355552.0,2.0,0,0,1,0,0.0,0.0,0.0,0,13.0,0,12.781429602907906,0.0,0,0
AAE0190,2010-01-06,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,532647.0,12.0,0,0,1,0,0.0,0.0,0.0,0,14.0,0,13.185616072221443,0.0,0,0
AAE0190,2010-01-07,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,474631.0,9.0,0,0,1,0,0.0,0.0,0.0,0,14.0,0,13.070295045910992,0.0,0,0
AAE0190,2010-01-08,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,400637.0,10.0,0,0,1,0,0.0,0.0,0.0,0,13.0,0,12.900813555428577,0.0,0,0
AAE0190,2010-01-11,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,389695.0,1.0,0,0,1,0,0.0,0.0,0.0,0,13.0,0,12.873122226968245,0.0,0,0
AAE0190,2010-01-12,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,404406.0,4.0,0,0,1,0,0.0,0.0,0.0,0,14.0,0,12.910177075573104,0.0,0,0
AAE0190,2010-01-13,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,352808.0,2.0,0,0,1,0,0.0,0.0,0.0,0,14.0,0,12.773682112993475,0.0,0,0
AAE0190,2010-01-14,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,416090.0,4.0,0,0,1,0,0.0,0.0,0.0,0,14.0,0,12.938659265321109,0.0,0,0
AAE0190,2010-01-15,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,302832.0,2.0,0,0,1,0,0.0,0.0,0.0,0,10.0,0,12.620936777434183,0.0,0,0
AAE0190,2010-01-18,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-01-19,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-01-20,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-01-21,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-01-22,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-01-25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-01-26,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-01-27,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-01-28,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-01-29,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-01,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-02,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-03,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-04,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-05,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-08,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-09,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-10,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-11,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAE0190,2010-02-12,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
AAF0535,2010-01-04,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,91511.0,4.0,0,0,1,0,0.0,0.0,0.0,0,3.0,0,11.424225390205509,0.0,0,1
AAF0535,2010-01-05,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,63711.0,5.0,0,0,1,0,1.0,4.0,0.0,0,3.0,0,11.062128206863923,0.6931471805599453,0,1
